Manure Fertilizer Yield
none absent 8.2
none absent 6.1
none absent 9.9
none absent 9.8
none absent 7.5
low absent 12.4
low absent 10.6
low absent 13.7
low absent 8.9
low absent 10.9
high absent 15
high absent 15.1
high absent 12
high absent 15.7
high absent 12.2
none present 10
none present 12.5
none present 8.4
none present 11.4
none present 12.7
low present 16.4
low present 12.5
low present 14.1
low present 14.4
low present 12.1
high present 13.7
high present 15.8
high present 13.9
high present 11.6
high present 15.5
