length sex weight chest headlen headwid month neck
36 Female 26 19 9 4.5 September 12
40 Male 40 23 10 4 September 13
40 Male 65 26 9.5 4.5 October 16
41 Male 64 26 10 5 April 15
43 Male 46 23 10 4 September 13.5
43.5 Female 29 24 10 4.5 August 10
46 Female 48 23 11 4.5 May 13
46 Female 62 27 9 5 November 15
47 Male 86 29.5 11.5 5 October 17
48 Male 60 26 10 4 April 15.5
48 Male 79 31 11.5 6 November 16.5
50 Male 148 38 12 6.5 November 19
52 Female 105 29 11.5 5 August 17.5
52.5 Female 76 28 11.5 5 May 15
53 Male 114 30.5 11.5 5 May 17
53 Male 80 26 11 5.5 July 16
54 Male 90 28 13 5 September 17
57.3 Male 140 32.8 12.5 8.5 June 18
58 Female 144 31 12.5 6 May 18
59 Male 166 33 13 8 August 21.5
59 Male 120 30 13 6 September 19
59 Male 150 35 13 7 October 21
60 Female 182 34.5 13 6.5 September 21
60.5 Female 116 31 13 5.5 September 17.5
61 Female 132 33 13 5 September 20
61.5 Female 236 44 14.5 7 November 23
62 Female 166 35 15.5 6.5 August 22
63 Male 220 42 16 6 September 24
63 Female 140 32 12.5 4.5 August 10.5
63 Female 202 40 13.5 6.5 October 21.5
63.5 Male 212 44 13.5 8.5 November 23
64 Male 204 39 13.5 7 September 24
64 Female 204 38 13.5 7 September 20
64 Female 356 48 13.5 6.5 October 28
65 Male 202 39 14 5.5 October 24
65 Female 316 48 14.5 6.5 October 26
66.5 Male 154 34 13.5 6 September 22
67 Male 180 37 14 5 August 21.5
67.5 Male 344 45 16.5 9 July 28
68.5 Male 360 49 13.5 8 April 27
70 Female 220 41 13 7 April 21
70.5 Male 365 50 15.5 7 October 28
72 Male 348 49 17 10 July 31.5
72 Male 416 54 15.5 8 September 31
72 Male 436 48 16 9.5 September 30
73 Male 332 44 16 9 August 29
73.5 Male 262 41 15 7.5 July 26.5
75 Male 514 54 15.5 8 November 30.5
