Variety Yield Block Row Col
1 585 1 11 16
2 631 1 11 17
3 701 1 11 18
4 602 1 11 19
5 661 1 11 20
6 605 1 11 21
7 704 1 11 22
8 388 1 10 1
9 487 1 10 2
10 511 1 10 3
11 502 1 10 4
12 492 1 10 5
13 509 1 10 6
14 268 1 10 7
15 633 1 10 8
16 513 1 10 9
17 632 1 10 10
18 446 1 10 11
19 684 1 10 12
20 422 1 10 13
21 560 1 10 14
22 566 1 10 15
23 514 1 10 16
24 635 1 10 17
25 840 1 10 18
26 618 1 10 19
27 658 1 10 20
28 481 1 10 21
29 564 1 10 22
30 597 1 9 1
31 580 1 9 2
32 418 1 9 3
33 526 1 9 4
34 517 1 9 5
35 479 1 9 6
36 506 1 9 7
37 542 1 9 8
38 513 1 9 9
39 504 1 9 10
40 368 1 9 11
41 437 1 9 12
42 540 1 9 13
43 631 1 9 14
44 610 1 9 15
45 639 1 9 16
46 611 1 9 17
47 545 1 9 18
48 598 1 9 19
49 656 1 9 20
50 557 1 9 21
51 486 1 9 22
52 563 1 8 1
53 539 1 8 2
54 502 1 8 3
55 605 1 8 4
56 403 1 8 5
9 556 2 8 7
16 569 2 8 8
4 455 2 8 9
32 534 2 8 10
42 513 2 8 11
45 549 2 8 12
14 620 2 8 13
17 498 2 8 14
39 513 2 8 15
43 648 2 8 16
50 624 2 8 17
56 552 2 8 18
5 693 2 8 19
1 570 2 8 20
28 589 2 8 21
3 611 2 8 22
36 536 2 7 1
47 477 2 7 2
26 548 2 7 3
30 602 2 7 4
35 495 2 7 5
31 507 2 7 6
10 520 2 7 7
27 500 2 7 8
33 587 2 7 9
13 572 2 7 10
19 534 2 7 11
38 505 2 7 12
55 675 2 7 13
48 446 2 7 14
29 561 2 7 15
34 691 2 7 16
12 748 2 7 17
6 580 2 7 18
44 624 2 7 19
37 742 2 7 20
22 590 2 7 21
24 627 2 7 22
49 404 2 6 1
8 528 2 6 2
41 513 2 6 3
46 638 2 6 4
7 621 2 6 5
11 615 2 6 6
51 543 2 6 7
18 606 2 6 8
54 634 2 6 9
15 610 2 6 10
20 487 2 6 11
23 522 2 6 12
25 599 2 6 13
21 656 2 6 14
2 563 2 6 15
52 654 2 6 16
53 738 2 6 17
40 368 2 6 18
34 623 3 6 20
23 539 3 6 21
50 616 3 6 22
42 438 3 5 1
8 592 3 5 2
18 485 3 5 3
3 542 3 5 4
19 421 3 5 5
11 479 3 5 6
31 546 3 5 7
36 600 3 5 8
28 690 3 5 9
17 662 3 5 10
56 564 3 5 11
40 516 3 5 12
54 679 3 5 13
24 607 3 5 14
51 378 3 5 15
29 678 3 5 16
37 675 3 5 17
45 679 3 5 18
38 500 3 5 19
1 562 3 5 20
44 500 3 5 21
21 606 3 5 22
4 337 3 4 1
52 342 3 4 2
46 191 3 4 3
13 30 3 4 4
39 255 3 4 5
26 443 3 4 6
20 384 3 4 7
53 471 3 4 8
5 501 3 4 9
10 665 3 4 10
41 480 3 4 11
16 635 3 4 12
27 481 3 4 13
15 769 3 4 14
22 517 3 4 15
6 656 3 4 16
25 702 3 4 17
32 621 3 4 18
55 663 3 4 19
47 580 3 4 20
33 643 3 4 21
2 818 3 4 22
30 360 3 3 1
7 43 3 3 2
43 75 3 3 3
48 59 3 3 4
9 174 3 3 5
14 221 3 3 6
49 247 3 3 7
35 449 3 3 8
12 538 3 3 9
40 471 4 3 11
41 580 4 3 12
49 553 4 3 13
44 480 4 3 14
9 515 4 3 15
25 471 4 3 16
42 613 4 3 17
11 564 4 3 18
1 568 4 3 19
7 574 4 3 20
34 515 4 3 21
37 450 4 3 22
52 185 4 2 1
30 486 4 2 2
15 99 4 2 3
2 74 4 2 4
26 294 4 2 5
35 272 4 2 6
36 246 4 2 7
6 350 4 2 8
4 303 4 2 9
47 471 4 2 10
32 390 4 2 11
48 530 4 2 12
18 416 4 2 13
10 506 4 2 14
50 348 4 2 15
39 453 4 2 16
17 632 4 2 17
56 339 4 2 18
33 625 4 2 19
46 473 4 2 20
27 509 4 2 21
23 549 4 2 22
19 291 4 1 1
21 121 4 1 2
16 21 4 1 3
31 128 4 1 4
45 102 4 1 5
43 356 4 1 6
38 443 4 1 7
8 307 4 1 8
54 240 4 1 9
5 500 4 1 10
29 442 4 1 11
3 586 4 1 12
14 469 4 1 13
55 558 4 1 14
12 632 4 1 15
53 604 4 1 16
24 606 4 1 17
20 406 4 1 18
51 593 4 1 19
13 531 4 1 20
28 512 4 1 21
22 538 4 1 22
