Part Diameter
north 27.8
north 14.5
north 39.1
north 3.2
north 58.8
north 55.5
north 25
north 5.4
north 19
north 30.6
north 36.9
north 54.1
north 10.2
north 2.5
north 13.8
north 43.5
north 13.8
north 39.7
north 6.4
north 4.8
north 15.1
north 3.6
north 28.4
north 15
north 2.2
north 14.2
north 44.2
north 25.7
north 11.2
north 46.8
south 2.6
south 44.6
south 45.5
south 29.1
south 18.7
south 7
south 43.8
south 28.3
south 36.9
south 51.6
south 36.8
south 21.7
south 35.7
south 32
south 40.4
south 12.8
south 5.6
south 44.3
south 52.9
south 38
south 44.4
south 26.1
south 50.4
south 23.3
south 39.5
south 51
south 48.1
south 47.2
south 40.3
south 37.4
